nome;dimensao;material; qtd ;unid; unit ; total 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1000;DN1000;EPDM; 2,00 ;UN; -   ; -   
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 16,00 ;UN; 16,84 ; 269,44 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø33mmx150mm;Ø33mmx150mm;AÇO; 56,00 ;UN; 103,38 ; 5.789,28 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN1200;FD; 2,00 ;UN; 31.902,03 ; 63.804,06 
TUBO COM FLANGE PN10 E PONTA;DN1200x1,00m;FD; 2,00 ;UN; 17.295,66 ; 34.591,32 
REDUÇÃO CONCÊNTRICA COM FLANGES PN10;DN1200x1000;FD; 2,00 ;UN; 24.401,77 ; 48.803,54 
TUBO COM FLANGE PN10 E PONTA;DN1000x1,00m;FD; 2,00 ;UN; 17.295,66 ; 34.591,32 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN1000;FD; 2,00 ;UN; 24.867,76 ; 49.735,52 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1000;DN1000;EPDM; 2,00 ;UN; 523,13 ; 1.046,26 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1200;DN1200;EPDM; 2,00 ;UN; 603,64 ; 1.207,28 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø33mmx150mm;Ø33mmx150mm;AÇO; 56,00 ;UN; 103,38 ; 5.789,28 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø36mmx160mm;Ø36mmx160mm;AÇO; 64,00 ;UN; 97,42 ; 6.234,88 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 2.725,29 ;m; 3.381,18 ; 9.214.696,04 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 60,00 ;m; 5.268,34 ; 316.100,40 
TUBO COM PONTA E BOLSA JUNTA TRAVADA EXTERNA JTE K7;DN1000;FD; 931,67 ;m; -   ; -   
CURVA 11°15' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 15,00 ;UN; 30.584,28 ; 458.764,20 
CURVA 22°30' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 16,00 ;UN; 34.594,62 ; 553.513,92 
CURVA 45° COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 20,00 ;UN; 37.152,52 ; 743.050,40 
LUVA COM BOLSAS JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 6,00 ;UN; 30.584,28 ; 183.505,68 
LUVA COM BOLSAS E JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 2,00 ;UN; 29.971,78 ; 59.943,56 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN700;FD; 2.551,61 ;m; 2.022,35 ; 5.160.248,48 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN700;FD; 50,00 ;m; 3.090,18 ; 154.509,00 
TUBO COM PONTA E BOLSA JUNTA TRAVADA EXTERNA JTE K7;DN700;FD; 732,30 ;m; -   ; -   
CURVA 11°15' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN700;FD; 13,00 ;UN; 30.584,28 ; 397.595,64 
CURVA 22°30' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN700;FD; 6,00 ;UN; 34.594,62 ; 207.567,72 
CURVA 45° COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN700;FD; 12,00 ;UN; 37.152,52 ; 445.830,24 
LUVA COM BOLSAS JUNTA ELÁSTICA JE2GS K7;DN700;FD; 3,00 ;UN; 10.597,37 ; 31.792,11 
LUVA COM BOLSAS E JUNTA TRAVADA EXTERNA JTE;DN700;FD; 3,00 ;UN; 29.971,78 ; 89.915,34 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN1000x200;FD; 4,00 ;UN; 16.071,94 ; 64.287,76 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN200;FD; 4,00 ;UN; 1.424,37 ; 5.697,48 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 8,00 ;UN; 36,60 ; 292,80 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 64,00 ;UN; 16,84 ; 1.077,76 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN1000x200;FD; 4,00 ;UN; 16.071,94 ; 64.287,76 
CURVA 45° COM FLANGES PN10;DN200;FD; 4,00 ;UN; 581,29 ; 2.325,16 
TOCO COM FLANGES PN10;DN200x0,50m;FD; 4,00 ;UN; 730,31 ; 2.921,24 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 4,00 ;UN; 1.356,14 ; 5.424,56 
TUBO COM FLANGE PN10 E PONTA;DN200x1,00m;FD; 4,00 ;UN; 1.329,48 ; 5.317,92 
TAMPA PARA REGISTRO TD5;100mm;FD; 4,00 ;UN; 31,22 ; 124,88 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 16,00 ;UN; 36,60 ; 585,60 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 128,00 ;UN; 16,84 ; 2.155,52 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN700x200;FD; 2,00 ;UN; 10.514,62 ; 21.029,24 
PLACA DE REDUÇÃO PN10;DN200x100;FD; 2,00 ;UN; 429,50 ; 859,00 
